,w_adv,w_time,w_prob,non-weighted error,weighted error,correlation,pvalue,mean,std,c0,c10,c20,c30,c40,c50,c60,c70,c80,c90,r0,r10,r20,r30,r40,r50,r60,r70,r80,r90
22,0.19999999999999998,0.09999999999999999,0.7000000000000001,0.06133044095775149,0.0497330985304861,0.9888085153270465,3.050169600020611e-05,0.7070565052445585,0.16439708130024971,0.0,0.0,0.0,85.7,644.3,1193.4,1297.1,1388.5,964.8,979.5,,,,0.4764367184599503,0.5330001230767,0.5892958709880336,0.6792674663988909,0.8200721623960059,0.9010253030228987,0.9783292080498308
23,0.19999999999999998,0.19999999999999998,0.5999999999999999,0.10106068683855965,0.10378683920367981,0.9891628865052638,4.4148394170260984e-05,0.6524192441961261,0.17669379453173492,0.0,0.0,0.0,343.6,1038.7,1365.7,1525.5,971.3,462.3,846.2,,,,0.507093305392788,0.5731090682825768,0.6549208455615966,0.7820154003951462,0.8557190056917205,0.9011173877270157,0.9812658867730967
24,0.19999999999999998,0.29999999999999993,0.5,0.1446946595040584,0.15757809280108795,0.9827369156744391,2.0663638745407927e-05,0.5977819831476942,0.19462666493331587,0.0,0.0,90.7,812.0,1374.2,1622.1,1006.4,498.8,349.4,799.7,,,0.4850385001843701,0.5531801507111737,0.6396773273649387,0.7660056671508039,0.803906488007765,0.8185327970125655,0.9079960602638163,0.9828109286118881
25,0.19999999999999998,0.39999999999999997,0.39999999999999997,0.16739426633879348,0.21305400646965383,0.9361861706143417,0.0007877003931646634,0.5431447220992605,0.21680174315348033,0.0,0.0,480.4,1404.7,1699.3,984.5,511.0,406.9,293.0,773.5,,,0.5227901299762695,0.6264301618215722,0.7617863547130358,0.7897246453533195,0.7394442826673568,0.8103788821631378,0.9051693572572441,0.9823647769456691
26,0.19999999999999998,0.5,0.29999999999999993,0.2035541980263492,0.2681286035515782,0.9046418475111278,0.0010689649064757202,0.4885074610508283,0.24205604696523836,0.0,122.7,1325.6,1858.0,987.3,485.9,397.9,356.1,259.2,760.6,,0.5011741933891389,0.6011062612812603,0.7511219321691243,0.7834701487198834,0.7163961141054095,0.7416785554012237,0.8095999432011187,0.8882746945617758,0.9815645265250434
27,0.19999999999999998,0.5999999999999999,0.19999999999999998,0.22102673797442912,0.3236916123024506,0.8336454063405221,0.007256632227843398,0.4338702000023938,0.26952546744515954,0.0,918.6,2116.8,1024.9,460.0,382.6,346.2,310.9,238.9,754.4,,0.5818620907498477,0.7314685186842798,0.7827333553315926,0.69842945960828,0.7130842778667579,0.7508746106343634,0.8074388243044043,0.8678888799487275,0.9795891888184596
28,0.19999999999999998,0.7000000000000001,0.09999999999999999,0.25825086501387806,0.377696401840809,0.8354678834441531,0.0036220159086406507,0.37923293895396254,0.2985993249042055,348.6,2386.2,1124.3,440.6,373.4,322.7,303.4,281.7,216.9,755.5,0.5694788007465903,0.710874558851036,0.7676452613583824,0.7025732911185433,0.6864173572772174,0.7260640972590329,0.754289304020392,0.807812370868143,0.8545160189164909,0.9746164009084903
29,0.19999999999999998,0.7999999999999999,0.0,0.2677763893265104,0.43160971899818046,0.7659037179363114,0.013357650278327166,0.32459567790552735,0.32885235995304934,2286.5,1378.3,463.6,331.6,325.3,283.6,266.2,262.4,193.4,762.4,0.703975745521394,0.743542725455969,0.7034448339631537,0.6761228742482281,0.6931019719002138,0.7416331981724985,0.7542160057544806,0.8067737244004591,0.8499306096885636,0.9690398442253386
30,0.29999999999999993,0.0,0.7000000000000001,0.0466834395085964,0.02783848401948933,0.9763079721501914,0.0002864929059160372,0.7348478470026338,0.16199617416552625,0.0,0.0,0.0,49.2,437.0,1038.9,1288.7,1481.6,1017.9,1240.0,,,,0.4892717107732505,0.5212238022021145,0.5708569159860788,0.6481595220442065,0.7869862055044651,0.8676808197090153,0.972259564464663
31,0.29999999999999993,0.09999999999999999,0.5999999999999999,0.08426576578050259,0.07579939206738799,0.9921891839559465,2.1573190910871528e-05,0.6802105859541954,0.1714710999620382,0.0,0.0,0.0,210.7,799.5,1277.7,1529.5,1084.9,743.9,907.1,,,,0.5086108865791105,0.5597353450447786,0.6244912853617101,0.7380894833809112,0.8175085521413872,0.9116565689296046,0.9797682390260162
